Datetime,Tweet Id,Text,Username,Category,Clean_text
2023-01-30 12:18:10+00:00,1620033628943310848,GW BUKAN KODE KE LU BANGSAT,hecsperides,abusive,gw bukan kode ke lu bangsat
2023-02-11 01:44:57+00:00,1624222929809707008,"Jangan pernah menyalahkan siapapun. Bisa musibah, kepahitan, kesulitan datang, segera bersimpuh memohon, memelas dan menghiba ampunan Alloh. Karena tobat adalah gerbang pembuka pertolongan Alloh.",aagym,neutral,jangan pernah menyalahkan siapapun bisa musibah kepahitan kesulitan datang segera bersimpuh memohon memelas dan menghiba ampunan alloh karena tobat adalah gerbang pembuka pertolongan alloh
2023-02-10 04:57:14+00:00,1623908929083441154,"Sedap sekali bisa sarapan burjo buatan Fathullahabid. Dari Medan Ia merantau ke Aceh, berjualan untuk menggapai cita-cita menjadi TNI AL. Bismillah, tercapai! 

Selain semangat ibu-ibu membeli sayur di sini, semangat kayak gini gak kalah keren 🔥 https://t.co/pSOsGx3UB6",erickthohir,neutral,sedap sekali bisa sarapan burjo buatan fathullahabid dari medan ia merantau ke aceh berjualan untuk menggapai cita cita menjadi tni al bismillah tercapai selain semangat ibu ibu membeli sayur di sini semangat kayak gini gak kalah keren
2023-01-21 14:03:12+00:00,1616798571524935681,pengen ciuman sama pacar orang,Biarbiurrrrr,adult,pengen ciuman sama pacar orang
2022-07-23 10:27:03+00:00,1550789580948811776,@menyeduhkan Mana ga ada sapi kentu ah bohong ya kamu,briankhrisna,adult,mana ga ada sapi kentu ah bohong ya kamu
2023-03-15 06:35:48+00:00,1635892536379166721,3 Makanan Bali Ini Ditetapkan Jadi Warisan Budaya Tak Benda 2022 https://t.co/X5ODSyoHux,detikfood,neutral,makanan bali ini ditetapkan jadi warisan budaya tak benda
2023-01-27 16:03:58+00:00,1619003289089212416,Fakof @McDMalaysia layan tweet femes je. Dasar anjing,haziq_zaid,abusive,fakof layan tweet femes je dasar anjing
2022-06-23 07:40:26+00:00,1539876017463971841,"@amandaelviraa @sbyfess Mau nyeletuk kasar ah, mksd de e dia nyari pcr buat di kentu kui mba",catzelnut,adult,mau nyeletuk kasar ah mksd de e dia nyari pcr buat di kentu kui mba
2023-01-30 16:02:35+00:00,1620090106622390272,@syalmano ahahahhah pls lah demi memenuhi hasrat di entot otosan otosan jepang,kikdprks,adult,pls lah demi memenuhi srat di entot otosan otosan jepang
2023-01-29 11:57:42+00:00,1619666090891816962,"...
Leo kamu tolol banget
Mending tinggalin sena terus jadian samaku",hokuchuu_,abusive,leo kamu tolol banget mending tinggalin sena terus jadian samaku
2022-11-07 15:15:02+00:00,1589637556790243332,"@JadineGood iya mbak aku komen sinet lain lebih parah cipika cipiku, pelak peluk, tidur pun sampe nempel tangan nya sampe masuk kedalam baju si cewek,gak ada yg ribut, malah di balas komenku dasar otak cabul katanya 😂😂 org selingkuh didukung katanya 😂😂",BoregDumai,adult,iya mbak aku komen sinet lain lebih parah cipika cipiku pelak peluk tidur pun sampe nempel tangan nya sampe masuk kedalam baju si cewek gak ada yg ribut malah di balas komenku dasar otak cabul katanya org selingkuh didukung katanya
2023-01-27 12:38:33+00:00,1618951594925760512,"@tanyarlfes anjing bangsat emosi gue udh calon suaminya cari aja yang setara dlm pendidikan ekonomi deh drpd kek gini bakal jadi parasit anjir keluarga lo tau ga, nikah kan bkn cuma lo doang tp juga nyatuin keluarga juga kalo keluarga lo kaya gini mah skip anj",ica_insani,abusive,anjing bangsat emosi gue udh calon suaminya cari aja yang setara dlm pendidikan ekonomi deh drpd kek gini bakal jadi parasit anjir keluarga lo tau ga nikah kan bkn cuma lo doang tp juga nyatuin keluarga juga kalo keluarga lo kaya gini mah skip anj
2023-01-30 05:08:38+00:00,1619925531658702848,@txtdrimedia dasar lelaki bodoh ~,M1n7un,abusive,dasar lelaki bodoh
2023-03-02 13:40:04+00:00,1631288262605037574,"@elyaksha @mohmahfudmd Bagus juga, siapa tahu ada masalah dlm penanganannya. 👍",nazaqistsha,neutral,bagus juga siapa tahu ada masalah dlm penanganannya
2023-01-27 08:06:32+00:00,1618883140801667073,"@roychand8277 @msaid_didu Dikit² rakyat jelata, muak gue,,, emang para babinsa ga bisa gitu dapat apresiasi...
Goblok di pamerin...
Semua ada anggaran nya sesuai kapasitas nya masing².
Kalo masalah rakyat jelata sudah ada anggaran nya di kemensos dlm bentuk bansos dll.
Dasar otak udang.",YRumbon,abusive,dikit2 rakyat jelata muak gue emang para babinsa ga bisa gitu dapat apresiasi goblok di pamerin semua ada anggaran nya sesuai kapasitas nya masing2 kalo masalah rakyat jelata sudah ada anggaran nya di kemensos dlm bentuk bansos dll dasar otak udang
2023-03-05 12:11:39+00:00,1632353175717179392,Ferrari nanti malam ada part yang copot lagi,ridwanhr,neutral,ferrari nanti malam ada part yang copot lagi
2023-01-29 10:01:19+00:00,1619636800355704832,"@fyasof83 @SeeU2Morrow__ Ini bukan begal lho om. Ini bocah2 iseng. Tapi membahayakan orang. Mirip klithih di Jogja itu. Pantesnya emang langsung dibantai. Klo begal, motifnya jelas, nyari duit. Klo bocah bocah asu ini kan gak jelas. Nanganin kyk gini kyk nangani psikopat.",afewgoodmen45,abusive,ini bukan begal lho om ini bocah iseng tapi membahayakan orang mirip klithih di jogja itu pantesnya emang langsung dibantai klo begal motifnya jelas nyari duit klo bocah bocah asu ini kan gak jelas nanganin kyk gini kyk nangani psikopat
2023-03-03 07:11:43+00:00,1631552919064690688,@mchiell sayangnya atau untungnya wkwk...,seagatesoft,neutral,sayangnya atau untungnya
